pokemon_id,url_page,pokemon_name,peso,altura,tipo 1,tipo 2,evolucao 1,evolucao 2,evolucao 3,evolucao 4,evolucao 5,evolucao 6,evolucao 7,evolucao 8,evolucao 9,abilidade 1,abilidade 2,abilidade 3,abilidade 4,abilidade 5,abilidade 6
1,https://pokemondb.net/pokedex/bulbasaur,Bulbasaur,6.9 kg ,0.7 m ,Grass,Poison,#0003-Venusaur-https://pokemondb.net/pokedex/venusaur,#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur,,,,,,,Chlorophyll,Overgrow,,,,
22,https://pokemondb.net/pokedex/fearow,Fearow,38.0 kg ,1.2 m ,Normal,Flying,#0022-Fearow-https://pokemondb.net/pokedex/fearow,#0021-Spearow-https://pokemondb.net/pokedex/spearow,,,,,,,,Sniper,Keen Eye,,,,
4,https://pokemondb.net/pokedex/charmander,Charmander,8.5 kg ,0.6 m ,Fire,,#0006-Charizard-https://pokemondb.net/pokedex/charizard,#0005-Charmeleon-https://pokemondb.net/pokedex/charmeleon,#0004-Charmander-https://pokemondb.net/pokedex/charmander,,,,,,,Solar Power,Blaze,,,,
21,https://pokemondb.net/pokedex/spearow,Spearow,2.0 kg ,0.3 m ,Normal,Flying,#0022-Fearow-https://pokemondb.net/pokedex/fearow,#0021-Spearow-https://pokemondb.net/pokedex/spearow,,,,,,,,Sniper,Keen Eye,,,,
3,https://pokemondb.net/pokedex/venusaur,Venusaur,100.0 kg ,2.0 m ,Grass,Poison,#0003-Venusaur-https://pokemondb.net/pokedex/venusaur,#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur,,,,,,,Thick Fat,Chlorophyll,Overgrow,,,
5,https://pokemondb.net/pokedex/charmeleon,Charmeleon,19.0 kg ,1.1 m ,Fire,,#0006-Charizard-https://pokemondb.net/pokedex/charizard,#0005-Charmeleon-https://pokemondb.net/pokedex/charmeleon,#0004-Charmander-https://pokemondb.net/pokedex/charmander,,,,,,,Solar Power,Blaze,,,,
2,https://pokemondb.net/pokedex/ivysaur,Ivysaur,13.0 kg ,1.0 m ,Grass,Poison,#0003-Venusaur-https://pokemondb.net/pokedex/venusaur,#0002-Ivysaur-https://pokemondb.net/pokedex/ivysaur,#0001-Bulbasaur-https://pokemondb.net/pokedex/bulbasaur,,,,,,,Chlorophyll,Overgrow,,,,
25,https://pokemondb.net/pokedex/pikachu,Pikachu,6.0 kg ,0.4 m ,Electric,,#0026-Raichu-https://pokemondb.net/pokedex/raichu,#0025-Pikachu-https://pokemondb.net/pokedex/pikachu,#0172-Pichu-https://pokemondb.net/pokedex/pichu,,,,,,,Lightning Rod,Static,,,,
18,https://pokemondb.net/pokedex/pidgeot,Pidgeot,39.5 kg ,1.5 m ,Normal,Flying,#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot,#0017-Pidgeotto-https://pokemondb.net/pokedex/pidgeotto,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey,,,,,,,No Guard,Big Pecks,Tangled Feet,Keen Eye,,
16,https://pokemondb.net/pokedex/pidgey,Pidgey,1.8 kg ,0.3 m ,Normal,Flying,#0018-Pidgeot-https://pokemondb.net/pokedex/pidgeot,#0017-Pidgeotto-https://pokemondb.net/pokedex/pidgeotto,#0016-Pidgey-https://pokemondb.net/pokedex/pidgey,,,,,,,Big Pecks,Tangled Feet,Keen Eye,,,
